Name,Category,Price,גובה,השקיה,שימושים,Tag,Description,Stock,Thumbnail,תמונה,,
קלה,רב שנתיים,,50 סמ',מרובת,"עציץ, גינה",צל,,0,https://cdn.store.link/products/galednp/iz64ls-img_20210222_163513%20%D7%91%D7%AA%20%D7%A7%D7%9C%D7%94.jpg?versionId=2TO.KjncT_iSOJc7uCRNR7VbTLBgYZYP,,,
חמציץ משולש סגול,רב שנתיים,,20 סמ',בינונית עד מרובה,"עציץ, גינה","שמש, שמש חלקית",,0,https://cdn.store.link/products/store7222/-monlx-%D7%97%D7%9E%D7%A6%D7%99%D7%A5%20%D7%9E%D7%A9%D7%95%D7%9C%D7%A9%20%D7%A1%D7%92%D7%95%D7%9C.jpeg?versionId=fY7uVI7hf2R_QVP.z_L9u1qdRgcuwemd,,,
ביצן רחב - עלים,רב שנתיים,,30 סמ',בינונית,צבה לגינה,"שמש, הצללה חלקית",,0,https://cdn.store.link/products/store7222/dv-y7w-%D7%91%D7%99%D7%A6%D7%9F%20%D7%9E%D7%A9%D7%95%D7%A0%D7%9F.jpeg?versionId=OAqg1uXVLnLTNrTBzw32UOBITSt7fGcG,,,
"וורבנה זני מכלאו לבן, אדום, סגול",רב שנתיים,,30 סמ',בינונית,"עציץ, מיכל, תליה, גינה","שמש, הצללה חלקית",,0,https://cdn.store.link/products/store7222/mg34sj-%D7%95%D7%A8%D7%91%D7%A0%D7%94%20%D7%A4%D7%A8%D7%97%20%D7%9C%D7%91%D7%9F.jpeg?versionId=3qLhHKuZXhwWKsHlNl.teQ1xHoEdbvJ5,,,
"גבנון בן אזוב פרח לבן
",רב שנתיים,,30 סמ',בינונית,"עציץ, גינה","שמש, הצללה חלקית",,0,https://cdn.store.link/products/store7222/mof1a0-%D7%92%D7%91%D7%A0%D7%95%D7%9F%20%D7%91%D7%9F%20%D7%90%D7%96%D7%95%D7%91.jpeg?versionId=VKw.SXTCOxIrxdCMGKq6JIVYprM01gvl,,,
גזניה אשונה פרח ורוד,רב שנתיים,,25 סמ',בינונית,כיסוי שטח,שמש מלאה,,0,https://cdn.store.link/products/store7222/65p9ni-%D7%92%D7%96%D7%A0%D7%99%D7%94%20%D7%90%D7%A9%D7%95%D7%A0%D7%94%20%20%D7%A4%D7%A8%D7%97%20%D7%95%D7%A8%D7%95%D7%93.jpeg?versionId=w27HFI386tTxCOmBG.cSEJBHuA0lJ0VT,,,
גרמית סגולה,רב שנתיים,,40 סמ',בינונית,"עציץ, גינה",שמש מלאה,,0,https://cdn.store.link/products/store7222/h9syf2-%D7%92%D7%A8%D7%9E%D7%99%D7%AA%20%D7%A1%D7%92%D7%95%D7%9C%D7%94.jpeg?versionId=9sAhIoGWpxXmJSvrhRXYVRJXTQcmg_w1,,,
קולאוס (נדנונית),רב שנתיים,,70 סמ',בינונית,"עציץ, גינה",מקום מואר ללא שמש ישירה,,0,https://cdn.store.link/products/store7222/cmnumq-%D7%A7%D7%95%D7%9C%D7%90%D7%95%D7%A1.jpeg?versionId=RhcAWP790JnhUjE1uc2G771nX1JNNl.L,,,
היפואסטס,רב שנתיים,,30 סמ',בינונית,"עציץ, גינה",שמש חלקית ,,0,https://cdn.store.link/products/store7222/wtg5s0-%D7%94%D7%99%D7%A4%D7%95%D7%90%D7%A1%D7%98%D7%A1.jpeg?versionId=HOoVwyV6iZJzRpIm4Wo7JJWhMDd2c5tK,,,
חרצית גדולת פרחים,רב שנתיים,,70 סמ',בינונית,גינה,"שמש מלאה, הצללה חלקית",,7,https://cdn.store.link/products/store7222/1s5pzz-%D7%97%D7%A8%D7%A6%D7%99%D7%AA%20%D7%92%D7%93%D7%95%D7%9C%D7%AA%20%D7%A4%D7%A8%D7%97%D7%99%D7%9D.jpeg?versionId=m.DRlr0.P4GLz15B9P5IC8XRS.QpravC,,,
