Name,Category,Price,גובה,השקיה,שימושים,Tag,Description,Stock,Thumbnail,תמונה,,
שסיענית מנוצה,עונתיים של חורף - אביב,,,,,,,0,https://cdn.store.link/products/galednp/vn4s3o-%D7%A9%D7%A1%D7%99%D7%A2%D7%A0%D7%99%D7%AA%20%D7%9E%D7%A0%D7%95%D7%A6%D7%94%20%D7%90.jpg?versionId=L9RbdFxjB9W8t_aF3nwLPjj4j.V507ky,,,
גרניום זקוף סגול ארכיון,רב שנתיים,,עד 40 סמ',בינונית,"גינה,עדנית","שמש, הצללה חלקית",,0,https://cdn.store.link/products/galednp/9to2nw-%D7%90%20%20%D7%92%D7%A8%D7%A0%D7%99%D7%95%D7%9D%20%D7%A1%D7%92%D7%95%D7%9C%20%D7%90%D7%A8%D7%9B%D7%99%D7%95%D7%9F%20-%20copy%20-%20copy%20%282%29.jpg?versionId=uRnPYavRIl.dyCDvO7vKMku_T8rwC.1G,,,
גרניום צרפתי לבן,רב שנתיים,,עד 60 סמ',בינונית,"גינה,עדנית","שמש, הצללה חלקית",,,https://cdn.store.link/products/galednp/lxxucg-%D7%92%D7%A8%D7%A0%D7%99%D7%95%D7%9D%20%D7%A6%D7%A8%D7%A4%D7%AA%D7%99%20%D7%9C%D7%91%D7%9F%20%D7%90%20-%20copy.jpg?versionId=Fo_2nAw3R9_toabuNxgVKbwP14GoQcFf,,,
נמזיה כתומה,עונתיים של חורף - אביב,,עד 40 סמ',בינונית עד רבה,"גינה,עדנית",מקום מואר,,0,https://cdn.store.link/products/galednp/yuk5t1-%D7%A0%D7%9E%D7%96%D7%99%D7%94%20%D7%9B%D7%AA%D7%95%D7%9E%D7%94%20%D7%90.jpg?versionId=qimNv0uj05t1_5NvB8S5.yPXP9CwgqEM,,,
ורבנה אדומה,רב שנתיים,,עד 25 סמ',בינונית,"גינה, מסלעה, עדנית, סלסילה תלויה",שמש,,,https://cdn.store.link/products/galednp/0shuvt-%D7%95%D7%A8%D7%91%D7%A0%D7%94%20%D7%90%D7%93%D7%95%D7%9E%D7%94%20%D7%90%20-%20copy.jpg?versionId=bznrA79Gnfwsd.mWot57FKMDRb79p6AQ,,,
גרניום מכלוא קנטבריג',רב שנתיים,,", עד 15 סמ'",בינונית,"גינה, עדנית, עציץ, מסלעה","שמש, צל חלקי, צמח מסתרע",,0,https://cdn.store.link/products/galednp/ml0avk-%D7%92%D7%A8%D7%A0%D7%99%D7%95%D7%9D%20%D7%9E%D7%9B%D7%9C%D7%95%D7%90%20%20%20%D7%90%20%20%D7%A7%D7%A0%D7%98%D7%91%D7%A8%D7%99%D7%92%20-%20copy%20%282%29.jpg?versionId=fMp68i9TtTnR3iO8cblILJAVDeDULAj9,,,
פוקסיה,צמחי בית ,,עד 40 סמ',בינונית,"בית, מרפסת",צל חלקי,,,https://cdn.store.link/products/galednp/ty3a6j-%D7%A4%D7%95%D7%A7%D7%A1%D7%99%D7%94%20%D7%90.jpg?versionId=ErkCgzWOt51YJFidtXSF0bRtCtn9Jfvg,,,
שרף בוסטון,צמחי בית,,עד 1 מ,בינונית,"בית, מרפסת, גינה",צל מלא וחלקית,,0,https://cdn.store.link/products/galednp/-bgu4l-%D7%A9%D7%A8%D7%A3%20%D7%A9%D7%9C%20%D7%A9%D7%A8%D7%99%D7%AA%20%D7%90.jpg?versionId=4X8enhJmB5wGBaBgwCMjOZzcDn0Nlk6.,,,
וינקה (קתרנתוס) ורוד זקוף,רב שנתיים,,עד 30 סמ',מועטה - בינונית,"עציץ, אדנית, גינה",שמש,,8,https://cdn.store.link/products/galednp/cmrr4s-%D7%95%D7%99%D7%A0%D7%A7%D7%94%20%D7%92%D7%93%D7%95%D7%9C%D7%94%20%D7%90.jpg?versionId=gwSKRR4t3EToTCGMTmzq7ys8oyikU0Yh,,,
ציפורן סינית,רב שנתיים,,עד 30 סמ',בינונית,"גינה, אדנית","שמש, הצללה חלקית",,0,https://cdn.store.link/products/galednp/zcfv46-img_20201225_150206%20%D7%A6%D7%99%D7%A4%D7%95%D7%A8%D7%9F%20%D7%A1%D7%99%D7%A0%D7%99%202%D7%90.jpg?versionId=qqRgmwLCSiZXUQthwn83jkTYLkF9C76n,,,
ריפסליס,סוקולנטים,,ענפים עד 1 מ',בינונית,עציץ תלוי בבית ובמשרד,צל,,6,https://cdn.store.link/products/galednp/gmvxh3-%D7%A8%D7%99%D7%A4%D7%A1%D7%9C%D7%99%D7%A1%20%D7%90%D7%90.jpg?versionId=hx3m15R6Moa7c3p4.ByX8K7HU0.hSkC4,,,
עירית שומית,תבלינים,,עד 30 סמ',בינונית,"גן ירק, ערוגה, עציץ",שמש,,6,https://cdn.store.link/products/galednp/nol7os-img_20180814_194323_hht%20%D7%A2%D7%99%D7%A8%D7%99%D7%AA%20%D7%A9%D7%95%D7%9E%D7%99%D7%AA.jpg?versionId=Otn9YylK_uHAV4mcoto_lpZjmYP2MIeA,,,
,,,,,,,,,https://cdn.store.link/products/galednp/7h8hup-%D7%9C%D7%91%D7%A0%D7%93%D7%A8%20%D7%9E%D7%A9%D7%95%D7%A0%D7%9F%20%D7%90.jpg?versionId=yig1UZiw1yj_9ScKnDagdBdsThJc3L5M,,,
פעמונית פושרסקי,רב שנתיים,,עד 30 סמ',בינונית עד מרובה,"עציצים לתליה, עדניות, מסלעה, כיסוי קרקע",צל חלקי עד צל מלא,,9,https://cdn.store.link/products/galednp/g3sfe1-%D7%A4%D7%A2%D7%9E%D7%95%D7%A0%D7%99%D7%AA%20%D7%A4%D7%95%D7%A9%D7%A8%D7%A1%D7%A7%D7%99%20%D7%90-1.jpg?versionId=93ZJARi1h7raW4j.p0xTLTmPHGfQjwoa,,,
,,,,,,,,,,,,
לבנדר משונן,רב שנתיים,,עד 40 סמ',בינונית ,גינה,שמש,,4,https://cdn.store.link/products/galednp/ndyt5h-%D7%9C%D7%91%D7%A0%D7%93%D7%A8%20%D7%9E%D7%A9%D7%95%D7%A0%D7%9F%20%D7%90-1.jpg?versionId=bLnQFQxZA.neb0t9EWsdso8D_TOyZKIN,,,
פלקטרנתוס מדגסקרי,צמחי בית ומרפסת,,עד 40 סמ',בינונית סדירה,"עציצים, עדניות",הצללה חלקית עד צל מלא,,5,https://cdn.store.link/products/galednp/on17r7-%D7%A4%D7%9C%D7%A7%D7%98%D7%A8%D7%A0%D7%98%D7%95%D7%A1%20%D7%9E%D7%93%D7%92%D7%A1%D7%A7%D7%90%D7%A8%D7%99img_20211112_164425%20%D7%90.jpg?versionId=jM4LkrAekuZcFfcmich.F7OR9FvicduW,,,
